Fakultet,,,,,,,,,
FDU,Kategorija,Potkategorija,Naslov,Godina,Autor,Izdavac,Tagovi,Link do knjige,Opis
,,Programming mobile devices,,,,,,,
,,,Understanding Windows Phone 7,2012,Christian Crawley,	makeuseof.com,"Meter, microsoft, networking, windows phone, Xbox, Zune",https://drive.google.com/file/d/19O6N6KyClNqYmE8zMwp6BjkXnivxeUDm/view?usp=sharing,"With this guide, the user will delve into the secrets of this platform that foresees a major update for mid-2012."
,,,Think Java: How to Think Like a Computer Scientist,2011,Allen B. Downey,Green Tea Press,"Java, OOP, programming",https://drive.google.com/file/d/1zu_XJuntlWMcFjUJnv5YeE0DojN-zzB6/view?usp=sharing,"Allen Downey intends to initiate readers in Computer Science through various programming languages, with special emphasis on the nomenclature and the terms that every professional must know during the performance of their work.
On this occasion, the objective is the Java language and during the various chapters that make up the book, the most basic concepts of the language and the reason for them are reviewed."
,,,The Mobile Playbook,2012,Jason Spero,	Google Inc.,"marketing, mobile devices, reactivate, responsive, website design, Google",https://drive.google.com/file/d/1YCMcXZgLBU4LKUrNvqVL3P23evre1y6b/view?usp=sharing,"In this book you will find topics related to the changes that the use of mobile devices has generated in the profile of consumers and in the characteristics of purchases, Tips and strategies to optimize your business and website for mobiles, brand positioning through mobile devices and many other topics that will help you make the most of Mobile Marketing opportunities."
,,,iOS Developer Notes for Professionals,2018,Various,goalkicker,"mobile devices, iOs, programming",https://drive.google.com/file/d/1Fcrl-G_wKIbgW-hEKNc9UDG4n9qaNlyA/view?usp=sharing,"This iOS Developer Notes for Professionals book is compiled from Stack Overflow Documentation, the content is written by the beautiful people at Stack Overflow."
,,,Kotlin Notes for Professionals,2018,Various,goalkicker,"framework, JavaScript, programming, languages",https://drive.google.com/file/d/1gRZ3JRFfuBp5sATa615PCMy0yIirWM-N/view?usp=sharing,"This Kotlin Notes for Professionals book is compiled from Stack Overflow Documentation, the content is written by the beautiful people at Stack Overflow."
,,,Android Notes for Professionals,2018,Various,goalkicker,"framework, Android, programming, languages",https://drive.google.com/file/d/1j1kJ5GWGv7mAAoZntddznsVNzXfIjzmr/view?usp=sharing,"Algorithms, Analysis,Computer Science,MATLAB"
,,,Swift Notes for Professionals,2018,Various,goalkicker,"mobile devices, iOs, programming, Apple",https://drive.google.com/file/d/172xtfI6Z_fubMRkln4UfjJyOuzW3r8L_/view?usp=sharing,"This Swift Notes for Professionals book is compiled from Stack Overflow Documentation, the content is written by the beautiful people at Stack Overflow."
,,,Structure and Interpretation of Computer Programs,1996,"Harold Abelson
Gerald Jay Sussman",MIT,"Computer Science, programming, design patterns, Lisp, OOP, abstraction",https://drive.google.com/file/d/1TsDgfdQD1FwTNp_NkPwRL5k7I4tKcvPx/view?usp=sharing,"This manual teaches you the fundamentals of programming from a perspective that invites you to study, to delve into the topics it proposes until you appreciate the beauty enclosed in a written code."
,,,"Building iPhone Apps with HTML, CSS, and JavaScript",2010,Jonathan Stark,	O'Reilly,"CSS, iPhone, JavaScript, mobile, programming, HTML, Mobile Devices",https://drive.google.com/file/d/1fdohloRnGPaGWkQxO1U6EJbLFhB1yNmN/view?usp=sharing,"This book provides the basics needed to create a wide variety of applications for the iPhone, iPod Touch, and iPad using HTML, CSS, and Javascript instead of Objective-C or Cocoa."
,,,Principles of Object-Oriented Programming,2008,"Stephen Wong
Dung Nguyen",Rice University,"programming, OOP",https://drive.google.com/file/d/1c_xbVOP6Hg9TU7LqFzj6JoBVOUzpt97-/view?usp=sharing,This manual will show you how an architecture with objects is structured and how to understand it at a low level.
,,,"These are the droids you are looking for:
An Android Guide",2011,Matt Smith,makeuseof.com,"android, mobile, computer programming, devices",https://drive.google.com/file/d/1FEUVuDCEIgEWK_DG6bzl70DVGF6_6nv_/view?usp=sharing,This guide will help you in your first steps during the creation of an application capable of being deployed on any mobile device that implements this operating system.
,,,Mobile Developer's Guide to the Parallel Universe,2012,various,	Wireless Industry Partnership,"marketing, business model, mobile devices, programming",https://drive.google.com/file/d/1GpeJn--zBegJKQJNJbo08m-SMnie3z5G/view?usp=sharing,"This guide for the development in mobile devices has been elaborated from a point of view of marketing and commercial exploitation. The main premise that justifies this work is that an application, however good it may be, does not sell itself."
,,,EasyMANET for Android,2013,Salvador Francisco Morera Soler,desktop publishing,"android, mobile devices, networks, programming",https://drive.google.com/file/d/1kZT2_tRI4VsbyDfaQICEpgdXds5sDfZD/view?usp=sharing,This project represents an attempt to bring EasyMANET closer to the most widespread operating system today on mobile devices: Android. 
,,,Developing for Firefox OS,2013,André Alves Garzia,	Leanpub,"FirefoxOS, HTML5, mobile devices, Mozilla, programming",https://drive.google.com/file/d/1QIlorZ9-H_NlkaWar9rFTMnSDGxeDokw/view?usp=sharing,"This book is written for readers with an intermediate knowledge of HTML, CSS and JavaScript who wants to build mobile applications for Firefox OS."
,,,Advances and Applications in Mobile Computing,2012,Adem Karahoca,	intech,"design, mobile devices, testing, programming, analysis",https://drive.google.com/file/d/1OZ0Xz6BSJcP6O2BT9--1XoHCtJAgAKrM/view?usp=sharing,"Mobile Computing Advances and Applications provides guidance on how mobile software services can be used to make life easier for mobile users.The main contribution of this book is the improvement of mobile software in application development stages such as analysis, design, development and testing. "
,,,Android Design Guidelines,2011,Mutual Mobile,Self-published,"design, mobile devices, testing, programming, analysis",https://drive.google.com/file/d/1viTgC20uUFg-qJp4ftU857ciTBAw3bkE/view?usp=sharing,This book provides a reference when dealing with the development of Android applications that can also be extrapolated to other mobile operating systems.
,,,Android Programming Tutorials,2011,Mark L. Murphy,	CommonsWare,"android, Java, programming, mobile devices",https://drive.google.com/file/d/1sMzpsMyVCfegLciIjiUh4HIy43j9pLY7/view?usp=sharing,"This book is a collection of tutorials, walking you through developing Android applications, from the simplest ""Hello, world!"" to applications using many advanced Android APIs."
,,,Andbook! Android Programming,2009,Nicolas Gramlich,Andbook,"android, mobile, phone, devices, programming",https://drive.google.com/file/d/1TM2JI1QGLt83UsgvS2mL1XtAHb38d6Ku/view?usp=sharing,This document was written for developers who have previously worked with Java™ and want to start developing for Android.
,,,Designing Successful iPhone and Android Games with GameMaker,2011,Mark Overmars,	desktop publishing,"android, game maker, mobile devices, video games, programming",https://drive.google.com/file/d/1RnYvf919WVGvLq9o8t4XVWzssMKtMIOv/view?usp=sharing,This book contains the persepective of the developer regarding the tool who shows us the way to create our own successful games.
,,,Designing for Windows Phone,2011,various,Microsoft,"microsoft, mobile, phone, windows, programming",https://drive.google.com/file/d/1cuEJpBpEyMwwi4JNqVgU3Lql6KXteZgq/view?usp=sharing,"With this book, you will learn the basic techniques to develop applications: with many examples and images, the result is a very educational volume designed for all audiences."
,,,Don't Panic: Mobile Developer’s Guide,2011,various,	Enough Software GmbH,"android, blackberry, flash, iOS, J2ME, Java, mobile devices, Symbian, webOS, windows phone",https://drive.google.com/file/d/1dRhYqFmG2fGG8E6RsLjZzqjPO_pDxoSj/view?usp=sharing,This manual offers all the necessary guidelines to start developing applications for the most common devices and operating systems. It should therefore be considered as an essential reference guide for the programmer who is starting out for the first time in these environments.
,,,Android Application Development for the Intel® Platform,2014,"Ryan Cohen
Tao Wang","Apress, Berkeley, CA","programming, Intel, mobile devices",https://drive.google.com/file/d/1-kUfIXCMFau1GTdeUwOQ5CbrbW0-OnEU/view?usp=sharing,"Android Application Development for the Intel® Platform is the perfect introduction for software engineers and mobile app developers. Through well-designed app samples, code samples and case studies, the book teaches Android application development based on the Intel platform—including for smartphones, tablets, and embedded devices—covering performance tuning, debugging and optimization."
,,,GUI Design for Android Apps,2014,"Ryan Cohen
Tao Wang","Apress, Berkeley, CA","programming, design, mobile devices",https://drive.google.com/file/d/1fpQmJD13lpr83yU0FLMaYIL6eqJHa4ca/view?usp=sharing,"GUI Design for Android Apps is the perfect—and concise—introduction for mobile app developers and designers. Through easy-to-follow tutorials, code samples, and case studies, the book shows the must-know principles for user-interface design for Android apps running on the Intel platform, including smartphones, tablets and embedded devices."
,,Software Architecture,,,,,,,
,,,The Architecture of Open Source Applications,2011,"Amy Brown
Greg Wilson",Desktop publishing,"programming, architecture, open source",https://drive.google.com/file/d/1HS5PcRra0Kd2rtCwdUPtwRiqMu9NhJeT/view?usp=sharing,"With this first book in a series of two, the authors explain from a technical level the structure of several of the great existing open source applications. Answers to questions such as what are the main components of each program will be studied? How do they interact? And what were its builders able to learn during the experience of its development? In seeking answers to these questions, the contributors to these books provide a unique and invaluable insight into how they think."
,,,97 Things Every Software Architect Should Know,2009,Various,O'Reilly,"design patterns, programming, software architecture, software engineering",https://drive.google.com/file/d/1oG6EMbmzWvY3wbahYPnzRAU_fRvojJa0/view?usp=sharing,"This book is an unpublished and unofficial continuation made from the various collaborations and contributions that many professionals have been making on the homonymous ""97 Things Every Software Architect Should Know"" published by O'Reilly.Algorithms, architectures, structures and good practices are compiled here that will surely contribute to the personal training of each professional through the experience of the rest of their colleagues."
,,,An Introduction to Design Patterns in C++ with Qt 4,2006,"Alan Ezust
Paul Ezust",Prentice Hall,"programming, architecture, open source, design patterns",https://drive.google.com/file/d/1jACnHtB5biAUia2dn7bAWzHfgyrKdJYB/view?usp=sharing,Qt is a widely used cross-platform library for developing applications with a graphical user interface as well as for developing non-GUI programs such as command-line tools and server consoles. This book provides additional information on it.
,,,An Introduction to Software Architecture,1994,"David Garlan
Mary Shaw",Carnegie Mellon University,"architecture, computer programming, design, software, engineering",https://drive.google.com/file/d/1i0eq8XZtf7zlUpMhmaZgdTQYimMncgD2/view?usp=sharing,This article provides an introduction to the emerging field of software architecture. Six case studies are presented below to illustrate how our understanding of a complex software system can be enhanced through proper architectural design.
,,,Apprenticeship Patterns,2009,"David H. Hoover
Adewale Oshineye",O'Reiily,"architecture, computer programming, design, software, engineering",https://drive.google.com/file/d/1lV2On-K0PNV6OMO15CuQWhiJ2GTZARGj/view?usp=sharing,An essential book to grow as a developer and thereby improve our own quality of life.
,,,Cognitive Patterns: Problem-Solving Frameworks for Object Technology,2011,"Karen M Gardner
Alexander Rush
Michael K Crist
Robert K Konitzer
Bobbin Teegarden",The Global text,"architecture, programming, KADS, knowledge, software, testing",https://drive.google.com/file/d/12yL8eEIvNVQLeJT5IMvPrYxDjeCOpAhw/view?usp=sharing,"Cognitive Patterns not only shows us how to develop cognitive-based systems, it provides a comprehensive series of best-practice models and case studies. The book supplies patterns for problem solving, teaches by example, and is based on the firsthand experience of its talented team of authors. It defines how the next generation of systems will be developed."
,,,Computer Science Design Patterns,2014,various,Wikibooks,"computer science, programming, design patterns",https://drive.google.com/file/d/1-hasTNqmUehIZn3NpVz_oCVpKlcWZWUu/view?usp=sharing,"In software engineering, a design pattern is a general reusable solution to a commonly occurring problem within a given context in software design. A design pattern is not a finished design that can be transformed directly into source or machine code. This book provides additional information on that."
,,,GoF Design Patterns,2008,various,	Self-published,"Java, design patterns, UML, UML2, programming",https://drive.google.com/file/d/1qxsU0JETpwtZdNmmmx7EHmPqCxOZtTa0/view?usp=sharing," A design pattern is a solution to a design problem. For a solution to be considered a pattern, it must have certain characteristics. One of them is that you must have proven its effectiveness by solving similar problems on previous occasions. Another is that it must be reusable, meaning that it is applicable to different design problems in different circumstances. This book helps with gaining a better understanding of that."
,,,Design Patterns: Thanks to WikiPedia,2011,various,	Self-published,"Java, design patterns, UML, UML2, programming",https://drive.google.com/file/d/1F9CgRoM3_2PIHCCNt8sfzGyYeHktJLU0/view?usp=sharing," A design pattern is a solution to a design problem. For a solution to be considered a pattern, it must have certain characteristics. One of them is that you must have proven its effectiveness by solving similar problems on previous occasions. Another is that it must be reusable, meaning that it is applicable to different design problems in different circumstances. This book helps with gaining a better understanding of that."
,,,Design Patterns in Python,2011,"Rahul Verma
Chetan Giridhar",desktop publishing,"design patterns, programming, software architecture, software engineering, Python, MVC",https://drive.google.com/file/d/1KHnSr5KWT4IcnjCEqtkKDgXovzPFqdNU/view?usp=sharing,"The choice of language with which it will be implemented affects the use of design patterns. Naturally some languages ​​apply better than others for different tasks. Each language has its own set of strengths and weaknesses. In this essay we implement some of the most common design patterns in Python, whose object model is quite different from that of conventional object-oriented languages. Thus, we get some insight in this book into patterns in the context of Python."
,,,Domain-Driven Design Pattern Summaries,2004,Eric Evans,	Addison-Wesley,"DDD, design patterns, programming, agile software development",https://drive.google.com/file/d/170QB-4UEa4m_qq8mjw06GP5UvvZzq7wI/view?usp=sharing,"Domain-driven design, or Domain-driven design (DDD) is an approach to developing software with complex needs through a deep connection between implementation and core business model concepts. This book provides additional information to this topic."
,,,Entity Framework Notes for Professionals,2018,Various,	GoalKicker.com,"ADO, framework, Microsoft, programming, languages",https://drive.google.com/file/d/1aPsrj-l6_ZgYX_Sy8Z0lvvgSnTpGKY7h/view?usp=sharing,"This Entity Framework Notes for Professionals book is compiled from Stack Overflow Documentation, the content is written by the beautiful people at Stack Overflow."
,,,"The microarchitecture of Intel, AMD and VIA CPUs",2011,Agner Fog,Copenhagen University College of Engineering,"assembler, CPUs, Intel, microarchitecture, optimization, performance, VIA",https://drive.google.com/file/d/1GF8TZEGYdJlpJeSqrrtwdVR36bk3OaMN/view?usp=sharing,This manual describes the microarchitecture details of x86 microprocessors from Intel to AMD. The purpose of this book is to enable developers and compilers to make software optimizations for a given microprocessor model. This guide is intended for students of microarchitecture and software engineering.
,,,Motivational Design Patterns,2013,Christopher Francis Lewis,University of California,"design patterns, economy, gamification, motivation, productivity, psychology, social patterns",https://drive.google.com/file/d/1uq3CC5Yuj4Ae67G1glHOD9VDdRIKBQHP/view?usp=sharing,"This dissertation presents  a library of twenty-seven motivational design patterns, under the categories of gameful, social, interface and information. Theories and experimental results from motivational psychology, behavioral psychology and behavioral economics are used to explain the power of diferent design patterns and suggest optimal implementations. "
,,,Patterns of Software: Tales from the Software Community,1996,"
Richard P. Gabriel",	Oxford University Press,"C++, design patterns, OOP, programming, software engineering",https://drive.google.com/file/d/15pPu6pCHtSgFxkwlfvid7qCqCU7tGFwk/view?usp=sharing,The series of essays that make up this book began as columns for the Journal of Object Oriented Programming.
,,,Software Architecture,2011,"R. Bijlsma
B.J. Heeren
E.E.Roubtsova
S. Stuurman",	Free Technology Academy,"architecture, computer programming, design patterns, software, development, engineering",https://drive.google.com/file/d/1-tPy3XKGOGDwlT2WMLQMN8nMb_RxUPqK/view?usp=sharing,"Free Software – sometimes also referred to as ""Open Source"" or ""Libre Software"" – can be used, studied, copied, modified and distributed freely. It offers the freedom to learn and to teach without engaging in dependencies on any single technology provider. These freedoms are considered a fundamental precondition for sustainable development and an inclusive information society. This book discusses this topic."
,,,Applying Design Patterns for Everyone,2009,Anoop Madhusudanan,	desktop publishing,"pattern design, programming",https://drive.google.com/file/d/1gNIZjUyN-haNx-Qb78V11ys1GkqQjppz/view?usp=sharing,"This book is an aggregate of various articles on the subject that its author, Anoop, has been publishing on his personal blog. The goal is to present various software design patterns in a way that is simple, easy to understand, easy to read, and even fun. For this, the design of a football engine is used as a context, discussing during the process the advantages of applying the various patterns treated."
,,,Structure and Interpretation of Computer Programs,1996,"Harold Abelson
Gerald Jay Sussman",	MIT,"abstraction, computer science, programming, Lisp, OOP, design patterns",https://drive.google.com/file/d/1UJfPYgiNVwFEnzTvDc_whlqj9ficYwGz/view?usp=sharing,"This manual teaches you the fundamentals of programming from a perspective that invites you to study, to delve into the topics it proposes until you appreciate the beauty enclosed in a written code."
,,Software Development,,,,,,,
,,,Intelligent Human Computer Interaction,2017,"Editors 
Anupam Basu
Sukhendu Das
Patrick Horain
Samit Bhattacharya","Springer, Cham","Iinformation security,machine learning,software development,classification, algorithms,user interface,human robot collaboration,neural network,privacy,semantics,soft computing",https://drive.google.com/file/d/1OxerYUfD3RaQXtpwPX8voqQyDWgRU3Vq/view?usp=sharing,"This book constitutes the proceedings of the 8th International Conference on Intelligent Human Computer Interaction, IHCI 2016, held in Pilani, India, in December 2016. "
,,,Open Source Systems: Towards Robust Practices,2017,"Editors 
Federico Balaguer
Roberto Di Cosmo
Alejandra Garrido
Fabio Kon
Gregorio Robles
Stefano Zacchiroli","Springer, Cham","information systems,Linux,Open access,open source software,engineering,software development,maintenance,software projects",https://drive.google.com/file/d/15zw6DhkZxgmfOmn9wJzje5yF3pT5pdXO/view?usp=sharing,"This book constitutes the refereed proceedings of the 13th IFIP WG 2.13 International Conference on Open Source Systems, OSS 2017, held in Buenos Aires, Argentina, in May 2017. "
,,,"Scaling a Software Business
The Digitalization Journey",2017,"Brian Fitzgerald
Klaas-Jan Stol
Sten Minör
Henrik Cosmo","Springer, Cham","Software development process management,Collaboration in software development,Software engineering,Software organization,Software-driven innovation,Open Access",https://drive.google.com/file/d/1e9bF39ZmEob-ga6cO-SVeYX8cg9F6Rlc/view?usp=sharing,"This book presents the Scaling Management Framework, a model based on collected experiences from companies that have already made the journey to give software a central role within the organization. "
,,,"Analysis for Computer Scientists
Foundations, Methods, and Algorithms",2018,"Michael Oberguggenberger
Alexander Ostermann","Springer, Cham","Algorithms,Analysis,Computer Science,MATLAB",https://drive.google.com/file/d/1QB9BTAhNTJUB6eYbKVI5M9DNj0et6d2n/view?usp=sharing,"This easy-to-follow textbook/reference presents a concise introduction to mathematical analysis from an algorithmic point of view, with a particular focus on applications of analysis and aspects of mathematical modelling. This fully updated and expanded new edition also features an even greater number of programming exercises."
,,,"Autonomous Control for a Reliable Internet of Services
Methods, Models, Approaches, Techniques, Algorithms, and Tools",2018,"Editors 
Ivan Ganchev
R. D. van der Mei
Hans van den Berg","Springer, Cham","cloud computing,cloud services,communication channels,computer networks,computer systems,data communication,Human-Computer Interactopm,Internet of services, IoS,Internet of things,IoT,multimedia systems,quality of experience,QoE,quality of service ,QoS,telecommunication networks,telecommunication traffic,user interfaces",https://drive.google.com/file/d/1CpCGVechppoyCKzWi1rMWKEs4A1sUt4u/view?usp=sharing,This open access book was prepared as a Final Publication of the COST Action IC1304 “Autonomous Control for a Reliable Internet of Services (ACROSS)”. 
,,,Computer Aided Verification,2018,"Editors 
Hana Chockler
Georg Weissenbacher","Springer, Cham","artificial intelligence,data security,decision theory,evolutionary algorithms,formal logic,methods,verifications,genetic algorithms,learning algorithms,programming languages,semantics,software evaluation",https://drive.google.com/file/d/1ZH-JrUcvIxL20pAbr3cLHIrMbb8WEdzk/view?usp=sharing,"This open access two-volume set LNCS 10980 and 10981 constitutes the refereed proceedings of the 30th International Conference on Computer Aided Verification, CAV 2018, held in Oxford, UK, in July 2018."
,,,Computer Aided Verification,2019,"Editors 
Isil Dillig
Serdar Tasiran","Springer, Cham","artificial intelligence,authentication,data security,formal logic,reactive system,robots,software engineering,software evaluation",https://drive.google.com/file/d/1jyzUIaoP8bvNb-I1Idi3miKbyrxw1Ad9/view?usp=sharing,"This open access two-volume set LNCS 11561 and 11562 constitutes the refereed proceedings of the 31st International Conference on Computer Aided Verification, CAV 2019, held in New York City, USA, in July 2019. "
,,,Foundations of Software Science and Computation Structures,2019,"Editors
Mikołaj Bojańczyk
Alex Simpson","Springer, Cham","artificial intelligence,authentication,data security,formal logic,reactive system,robots,software engineering,software evaluation",https://drive.google.com/file/d/1LlXG5szp9D6hK23qR4MTUdfFU-GBSDK4/view?usp=sharing,"22nd International Conference, FOSSACS 2019, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2019, Prague, Czech Republic, April 6–11, 2019, Proceedings"
,,,Foundations of Software Science and Computation Structures,2018,"Editors 
Christel Baier
Ugo Dal Lago","Springer, Cham","artificial intelligence,computer software,formal logic,graph theory,programming language,semantics,software engineering,theorem",https://drive.google.com/file/d/1I4uSNiLkPlaF6AmdE4D-kyjVZT1WErOA/view?usp=sharing,"21st International Conference, FOSSACS 2018, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2018, Thessaloniki, Greece, April 14–20, 2018. Proceedings"
,,,Fundamental Approaches to Software Engineering,2018,"Editors 
Alessandra Russo
Andy Schürr","Springer, Cham","computer software, maintenance,evaluation,formal logic,programming languages,semantics,software engineering",https://drive.google.com/file/d/1FWYU2kXgUNGMPoaB-IBF80RVZuM7LGZI/view?usp=sharing,"21st International Conference, FASE 2018, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2018, Thessaloniki, Greece, April 14-20, 2018, Proceedings"
,,,Fundamental Approaches to Software Engineering,2020,"Editors 
Heike Wehrheim
Jordi Cabot","Springer, Cham","software engineering,model-based design,testing,software architectures,evolution,artificial intelligence,computer programming,computer systems,embedded systems,mathematics",https://drive.google.com/file/d/1ZajiHGRrYMGtyn9FIApTfUNNreXAhtrg/view?usp=sharing,"This open access book constitutes the proceedings of the 23rd International Conference on Fundamental Approaches to Software Engineering, FASE 2020, which took place in Dublin, Ireland, in April 2020, and was held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2020."
,,,Fundamental Approaches to Software Engineering,2019,"Editors 
Reiner Hähnle
Wil van der Aalst","Springer, Cham","formal logic,model checking,model-driven development,program compilers,program debugging,programming languages,requirements engineering,semantics,software architecture,software engineering,software evaluation",https://drive.google.com/file/d/1aLAlbingWW3tebRP9InkxH1s72T-LvH0/view?usp=sharing,"22nd International Conference, FASE 2019, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2019, Prague, Czech Republic, April 6–11, 2019, Proceedings"
,,,The Essence of Software Engineering,2018,"Editors 
Volker Gruhn
Rüdiger Striemer","Springer, Cham","Open Access,Software Engineering,Software Development,Software Processes,Software Architectures,Software Management",https://drive.google.com/file/d/1Gzowi2EoWY_J_ZdClNoXMtJzJ6fgdvuh/view?usp=sharing,This book includes contributions by leading researchers and industry thought leaders on various topics related to the essence of software engineering and their application in industrial projects. It offers a broad overview of research findings dealing with current practical software engineering issues and also pointers to potential future developments.
,,,"CyberParks – The Interface Between People, Places and Technology
New Approaches and Perspectives",2019,"Editors 
Carlos Smaniotto Costa
Ina Šuklje Erjavec
Therese Kenna
Michiel de Lange
Konstantinos Ioannidis
Gabriela Maksymiuk
Martijn de Waal","Springer, Cham","Computer networks,Data communication systems,Electronic commerce,Information technology,Mobile computing,Mobile devices,Social networking,Telecommunication networks,Digital Technologies,Digital Tools,Digitally Enhanced Places,Ethnographic Studies,Hybrid Places,Physical-Digital Interfaces,Sensor Devices and Platforms,Spatial needs",https://drive.google.com/file/d/1n0_Ufm98cibNGhV_bmjtd9mBGB1RJmrq/view?usp=sharing,"This open access book is about public open spaces, about people, and about the relationship between them and the role of technology in this relationship. It is about different approaches, methods, empirical studies, and concerns about a phenomenon that is increasingly being in the centre of sciences and strategies – the penetration of digital technologies in the urban space. "
,,,"Enhanced Living Environments
Algorithms, Architectures, Platforms, and Systems",2019,"Editors 
Ivan Ganchev
Nuno M. Garcia
Ciprian Dobre
Constandinos X. Mavromoustakis
Rossitza Goleva","Springer, Cham","ambient assisted living,intelligence,artificial intelligence,classification,enhanced living,healthcare assistance,Human-Computer Interaction (HCI),semantics,social networks",https://drive.google.com/file/d/11cFFLdjvtZw0V2nzmcdQ7dQkeU89FaJT/view?usp=sharing,"This open access book is the final publication of the COST Action IC1303 “Algorithms, Architectures and Platforms for Enhanced Living Environments (AAPELE)” project."
,,,High-Performance Modelling and Simulation for Big Data Applications,2019,"Editors 
Joanna Kołodziej
Horacio González-Vélez","Springer, Cham","artificial intelligence,big data,informatics,cloud computing,computer architecture,health informatics,wireless networks,telecommunication systems",https://drive.google.com/file/d/1nhdr3j7XGwb46W07jnC5pAOooH_Y_HU2/view?usp=sharing,This open access book is the final compendium of case studies emanated from the 4-year COST Action IC1406 “High-Performance Modelling and Simulation for Big Data Applications” (cHiPSet). 
,,,High Performance Computing,2019,"Editors 
Michèle Weiland
Guido Juckeland
Sadaf Alam
Heike Jagode","Springer, Cham","artificial intelligence,big data,informatics,cloud computing,computer architecture,health informatics,wireless networks,telecommunication systems",https://drive.google.com/file/d/1rmNu8Qon1H4nFXi73Go5OJxxT61h8xCN/view?usp=sharing,"This book constitutes the refereed post-conference proceedings of 13 workshops held at the 34th International ISC High Performance 2019 Conference, in Frankfurt, Germany, in June 2019"
,,,Managed Software Evolution,2019,"Editors 
Ralf Reussner
Michael Goedicke
Wilhelm Hasselbring
Birgit Vogel-Heuser
Jan Keim
Lukas Märtin","Springer, Cham","Open Access,Software Evolution,Software Engineering,Software Development,Software Product Lines,Software Maintenance,Model-Driven Software Engineering,Software Versioning,Formal Methods",https://drive.google.com/file/d/1ACSz7FFAgmXEclOGTzHTJiUWDDEc2FP5/view?usp=sharing,"This open access book presents the outcomes of the “Design for Future – Managed Software Evolution” priority program 1593, which was launched by the German Research Foundation (“Deutsche Forschungsgemeinschaft (DFG)”) to develop new approaches to software engineering with a specific focus on long-lived software systems. "
,,,Rethinking Productivity in Software Engineering,2019,"Editors 
Caitlin Sadowski
Thomas Zimmermann","Apress, Berkeley, CA","Software Engineering,Software Development,Productivity,Agile,Neuroscience,Software management,Open Access",https://drive.google.com/file/d/1OLF9m5D58A61qsiD8CJG9NfPWml-X9he/view?usp=sharing,"This open access book collects the wisdom of the 2017 ""Dagstuhl"" seminar on productivity in software engineering, a meeting of community leaders, who came together with the goal of rethinking traditional definitions and measures of productivity."
,,,"Object-Oriented Analysis, Design and Implementation
An Integrated Approach",2015,"Brahma Dathan
Sarnath Ramnath","Springer, Cham","Design Process,Design,Architecture, Object-oriented Concepts,UML Diagrams",https://drive.google.com/file/d/10kiq7zKLI0TrImbmvy-cH7c8n7cVpGH2/view?usp=sharing,"The second edition of this textbook includes revisions based on the feedback on the first edition. In a new chapter the authors provide a concise introduction to the remainder of UML diagrams, adopting the same holistic approach as the first edition. "
,,,"DevOps for Digital Leaders
Reignite Business with a Modern DevOps-Enabled Software Factory",2016,"Aruna Ravichandran
Kieran Taylor
Peter Waterhouse","
Apress, Berkeley, CA","delivery,software,parallel testing,service management,ITILGRC,API management,lean principles,technical debt,end-to-end automation",https://drive.google.com/file/d/1gOxtpi8IXPs2FFb0TQuD6OfM_v4mkFbO/view?usp=sharing,"In DevOps for Digital Leaders, deep collective experience on both sides of the dev–ops divide informs the global thought leadership and penetrating insights of the authors, all three of whom are cross-portfolio DevOps leaders at CA Technologies. "
,,,Agile Processes in Software Engineering and Extreme Programming,2018,"Editors 
Juan Garbajosa
Xiaofeng Wang
Ademar Aguiar","Springer, Cham","agile software development,software measurement,software creation and management,process management,test-driven development,project and people management,software development techniques,empirical software engineering,continuous experimentation",https://drive.google.com/file/d/19MDxUdBi4-CIQQohXkD8Ny4-vkL_eQvk/view?usp=sharing,"This open access book constitutes the proceedings of the 19th International Conference on Agile Software Development, XP 2018, held in Porto, Portugal, in May 2018."
,,,Agile Processes in Software Engineering and Extreme Programming,2017,"Editors 
Hubert Baumeister
Horst Lichter
Matthias Riebisch","Springer, Cham","agile software development,requirements engineering,Kanbanlean development,scrumproject,people management,software development techniques,computing and business,computing profession,open access",https://drive.google.com/file/d/1tXXLWkGapnEag4cJRnsF4hCGFkAJIhQh/view?usp=sharing,"The volume constitutes the proceedings of the 18th International Conference on Agile Software Development, XP 2017, held in Cologne, Germany, in May 2017."
,,,Agile Processes in Software Engineering and Extreme Programming,2019,"Editors 
Philippe Kruchten
Steven Fraser
François Coallier","Springer, Cham","agile software development,requirements engineering,Kanbanlean development,scrumproject,people management,software development techniques,computing and business,computing profession,open access",https://drive.google.com/file/d/1Q0qE9-4GDe4emZgvxTGn1-NK72HgsghX/view?usp=sharing,"This open access book constitutes the proceedings of the 20th International Conference on Agile Software Development, XP 2019, held in Montreal, QC, Canada, in May 2019."
,,,User-Driven Development for Bespoke Software,2013,Tryggvi Björgvinsson,University of Iceland,"agile software development, free software, hackers, open source",https://drive.google.com/file/d/1_ZrlZOXz6iq_02NgkkcGwZfgcYy63D7r/view?usp=sharing, The research question of this dissertation is therefore: How can the four freedoms of free software benefit bespoke software development?
